기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
상아테크,중소기업,경기 화성시,금속·재료·자재,-,24억,윤형중,2019.11.29
상아테크,중견기업,경기도 김포시,자동차 엔진용 신품 부품 제조업,29억 9천만원,140억 1천만원,이상만,2014.07.01
대원농산,중소기업,경남 거창군,식품가공,-,-,정수영,1987.01.10
대원농산,중소기업,경기 구리시,"채소류, 서류 및 향신작물류 도매업","5,000만원",67억 5천만원,박성일,2018.07.04
브라토,중소기업,대구 달서구,기계·기계설비,,,,
그로스,중소기업,서울 마포구,광고·홍보·전시,,,조은샘,2019.02.18
그로스,중소기업,대구 동구,증권·보험·카드,1억원,25억,배귀현,2021.05.10
그로스,중소기업,경기 수원시,기타 산업용 기계 및 장비 도매업,"3,000만원",20억 5천만원,최윤호,2017.06.15
그로스,중소기업,경기 안양시,전자상거래 소매업,1억 100만원,15억 3천만원,구양일,2021.04.01
그로스,중소기업,서울 종로구,광고·홍보·전시,"4,000만원",114억 9천만원,김재식,2016
그로스,중소기업,경기 수원시,시스템 소프트웨어 개발 및 공급업,"2,400만원","6억 2,926만원",이정훈,2020.06.05
그로스,중소기업,서울 강남구,투자 자문업 및 투자 일임업,-,-,김재범,-
그로스,중소기업,경기 안성시,농업 및 임업용 기계 제조업,,,박장현,1979
그로스,중소기업,경북 경산시,차류 가공업,1억원,"4억 9,242만원",권기한,2020.07.15
그랜드코리아레저,국내 공공기관·공기업,서울 강남구,공기업·공공기관,309억 2천만원,"3,963억 9천만원",윤두현,2005.09.06
그랜드코리아레저,국내 공공기관·공기업,서울 용산구,은행·금융,-,3967억,김영산,2006.05.26
그랜드코리아레저,중소기업,서울 강남구,상용 인력 공급 및 인사관리 서비스업,,,,
라은엘앤씨,중소기업,경기 용인시,유리 및 창호 공사업,,,,
에스디테크,중소기업,경기 안성시,콜센터·아웃소싱·기타,,,,
에스디테크,중소기업,부산 강서구,자동차·조선·철강·항공,,,,
에스디테크,중소기업,광주광역시 북구,기타 자연과학 연구개발업,,,,
에스디테크,중소기업,경기 안산시,절삭가공 및 유사처리업,,,,
에스디테크,중소기업,경기 시흥시,"증류기, 열교환기 및 가스발생기 제조업",,,,
에스디테크,중소기업,경기 안산시,사무용 가구 및 기기 도매업,,,,
에스디테크,중소기업,경기 화성시,금속·재료·자재,,,,
가온시스템즈,중소기업,경기 김포시,전기·전자·제어,-,20억,오광신,2018.03.16
엘지건재산업,중소기업,서울 강서구,"도배, 실내장식 및 내장 목공사업",2억원,54억 9천만원,장경석,1997.11.17
팀에어월드,중소기업,서울 서대문구,"화물운송 중개, 대리 및 관련 서비스업",,,,
어진,중소기업,서울 송파구,컴퓨터 프로그래밍 서비스업,"1,000만원","1억 3,855만원",채희명,2014.12.01
어진,중소기업,충남 천안시,기계·기계설비,1억원,8억,정연예,2016.03.24
