기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
성진이엔씨,중소기업,경기 하남시,건설 및 토목공사용 기계.장비 임대업,-,-,이정자,2018.01.01
엠제이,중견기업,서울 구로구,콜센터·아웃소싱·기타,5억원,425억,김시출,2005.03.24
엠제이,중소기업,경기 안성시,그 외 기타 전자부품 제조업,10억 5천만원,685억 5천만원,이희재,1999.06.01
엠제이,중견기업,서울 동대문구,의약품 도매업,13억 1천만원,"7,126억 5천만원",백광열,1991.12.10
엠제이,중소기업,인천 서구,콜센터·아웃소싱·기타,5억원,89억 1천만원,정은선,2012.10.20
엠제이,중소기업,서울 동대문구,섬유·의류·패션,,,강일훈,2015.03.12
엠제이,중소기업,경기 수원시,콜센터·아웃소싱·기타,1억원,22억,이명종,2008.10.01
엠제이,중소기업,서울 마포구,학원·어학원·교육원,-,-,장진혁,2006.12.08
엠제이,중소기업,부산 중구,건축물 일반 청소업,"2억 5,000만원",65억원6십만원,김대식,2005.05.02
엠제이,중소기업,경기 화성시,배관 및 냉ㆍ난방 공사업,9억원,741억 7백만원,정재영,2017.03.03
엠제이,중소기업,전북 익산시,자동차 차체용 신품 부품 제조업,20억원,112억 2천만원,정윤모,2004.03.05
동재공업,중소기업,대구 북구,내연기관 제조업,2억원,144억 8백만원,이강호/이진범,2002.08.01
진영수산,중소기업,인천 부평구,물류·운송·배송,-,-,김준근,2014.01.01
대광정보통신,중소기업,충남 천안시,통신 재판매업,"2억 3,000만원",24억 5천만원,엄기철,2002.06.30
대광정보통신,중소기업,충북 청주시,네트워크·통신서비스,2억원,-,김연숙,2002.01.08
대광정보통신,중소기업,충북 청주시,배관 및 냉ㆍ난방 공사업,2억 105만원,6억 285만원,이종임,2022.07.01
씨.에이치.티,중소기업,서울 마포구,그 외 기타 분류 안된 사업지원 서비스업,"4억 3,333만원",63억 7천만원,김곤중,1997.01.22
씨.에이치.티,중소기업,서울 송파구,도장 공사업,"2억 1,000만원",17억 6천만원,신학현/김용귀,2000.05.24
씨.에이치.티,중소기업,서울 강남구,생활화학·화장품,-,-,이성훈,-
씨.에이치.티,중소기업,서울 노원구,"안경, 사진장비 및 광학용품 도매업",-,-,황영일,2012.09.11
가영코스메틱,중소기업,경기 파주시,화장품 제조업,"6억 5,000만원",69억 5천만원,윤영준,2018.09.05
아이케이케이스포츠,중소기업,경기 양주시,운동 및 경기용품 도매업,"5,000만원",26억 2천만원,김인경/오세춘,2019.09.01
다다통상,중소기업,부산 기장군,"빵류, 과자류, 당류, 초콜릿 도매업",1억원,38억 1천만원,문시연,2010.08.11
다다통상,중소기업,경기 포천시,문구용 종이제품 제조업,4억원,38억 9천만원,이종수,2014.11.25
다다통상,중소기업,대구 중구,백화점·유통·도소매,-,-,한정희,2000
다다통상,중소기업,경기 하남시,커피 및 차류 도매업,-,-,이종대,2009.02.25
덴하우스,중소기업,전북 정읍시,제약·보건·바이오,-,3억6천5백만,권경환,2018.02.01
덴하우스,중소기업,서울 종로구,기타 엔지니어링 서비스업,"8,000만원",1억 726만원,임대영,2018.09.21
덴하우스,중소기업,경기 평택시,치과 의원,-,28억 4천만원,권경환,2020.11.23
뉴퍼플,중소기업,서울 송파구,전자상거래 소매업,,,,
유진전기,중소기업,인천 남동구,기타 엔지니어링 서비스업,,,,
유진전기,중소기업,경기 평택시,전기·전자·제어,,,,
상도테크,중소기업,경기 성남시,전기용 기계.장비 및 관련 기자재 도매업,,,,
닥터아임,중소기업,서울 서초구,화장품 제조업,,,,
닥터아임,벤처기업,서울 강남구,제약·보건·바이오,,,,
닥터아임,중소기업,서울 강남구,그 외 기타 분류 안된 사업지원 서비스업,,,,
에스케이와이에프에이,중소기업,경기 안성시,기계·기계설비,,,,
엠에이,중소기업,전북 전주시,컨설팅·연구·조사,,,,
엠에이,중소기업,서울 구로구,광고 대행업,,,,
엠에이,중소기업,서울 송파구,건축설계 및 관련 서비스업,,,,
엠에이,중소기업,대전 동구,건설·시공·토목·조경,,,,
엠에이,중소기업,제주 제주시,휴양콘도 운영업,,,,
엠에이,중소기업,경기 시흥시,단독 주택 건설업,,,,
엠에이,중소기업,서울 강남구,건물 및 토목 엔지니어링 서비스업,,,,
엠에이,중소기업,서울 성동구,외국어학원,,,,
엠에이,중소기업,서울 용산구,부동산 투자자문업,,,,
엠에이,중소기업,충북 음성군,그 외 기타 분류 안된 금속 가공 제품 제조업,,,,
신화웰텍,벤처기업,경기 시흥시,기계·기계설비,,,,
네이티브코리아,외국계(외국 투자기업),경기 화성시,학원·어학원·교육원,,,,
